model,strategy,target_frac,hold_frac,market,split,ann,sharpe,mdd,avg_turnover,avg_holding_days,total_cost,reliability,source
V9 topfocus average_w3,retention target0.030/hold0.400,0.03,0.4,legacy,test,89.1471543337644,3.1748147470168746,0.1313899870871707,0.2033590565503271,9.642683912691997,0.0548908081836212,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.030/hold0.250,0.03,0.25,legacy,test,88.50402119920895,3.125575859220749,0.1310262654471868,0.2681549939662846,7.161813269288502,0.0724602266139581,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.030/hold0.500,0.03,0.5,legacy,test,85.20372249958837,3.0713350844218668,0.1330573677313803,0.164787463676507,12.112718964204111,0.0444321207758848,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.050/hold0.250,0.05,0.25,legacy,test,84.26755115478586,3.0682545295943404,0.1279707516382092,0.2738688448087698,6.995608642192166,0.0740095372698979,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.030/hold0.300,0.03,0.3,legacy,test,85.71804424419813,3.0657465542411257,0.1292065899780428,0.2424946930988687,7.978595317725753,0.0655024360337582,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.050/hold0.400,0.05,0.4,legacy,test,82.51060104605624,3.0637670200931724,0.1281017938636536,0.2008992268134924,9.75410237570414,0.0542238253504784,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.050/hold0.300,0.05,0.3,legacy,test,83.37286445812222,3.0624589879549164,0.1259099179867864,0.2458433012163623,7.845168915591451,0.0664104111248166,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.300,0.1,0.3,legacy,test,78.62662329970405,3.02922024718578,0.1206681192735097,0.2524773362308143,7.637273685218891,0.0682092297189853,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.075/hold0.250,0.075,0.25,legacy,test,80.19932376132476,3.0269887562901165,0.1255576521173658,0.2792406372604418,6.860946915351507,0.0754660987931688,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.250,0.1,0.25,legacy,test,78.57935731534691,3.021203853222595,0.1214615641024919,0.2866202076019053,6.672985980330613,0.0774670692912566,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
