split,target_frac,hold_frac,market_timing_mode,ann,sharpe,mdd,avg_turnover,avg_holding_days,total_cost,avg_market_mult,dir
test,0.2,0.8,dynamic,32.8089514774913,2.038950275424449,0.0922842894391763,0.0942923545557597,23.736412830366245,0.0253387269351904,0.7067524949243743,h3h5h7_longonly_test_market_dynamic_one
test,0.2,0.8,legacy,49.59328430444745,2.154128597602289,0.133001906332632,0.0935637543747184,23.736412830366245,0.0251198119987049,0.9040752351097178,h3h5h7_longonly_test_market_legacy_one
test,0.2,0.8,none,61.40830686553127,2.1220037297610643,0.1676755725196384,0.0820087598480907,23.736412830366245,0.0219866752328097,1.0,h3h5h7_longonly_h128_t64_n3000_test_best
test,0.2,0.9,dynamic,32.29235687707277,2.030319915345689,0.0938119102017699,0.0684791511253196,41.48910212474298,0.0183394768250266,0.7067524949243743,h3h5h7_longonly_test_market_dynamic_hold90
test,0.2,0.9,legacy,48.52713231817189,2.144597062683258,0.1343939864446833,0.0606578712694938,41.48910212474298,0.0161973817947232,0.9040752351097178,h3h5h7_longonly_test_market_legacy_hold90
test,0.2,0.9,none,59.60275075521406,2.107855453856486,0.1679960588031386,0.0460407289067602,41.48910212474298,0.012233943643068,1.0,h3h5h7_longonly_h128_t64_n3000_test_best
test,0.3,0.8,dynamic,32.185580641243085,2.042291355104788,0.0866883114495962,0.0956821721727413,23.1099404489235,0.025715575982035,0.7067524949243743,h3h5h7_longonly_test_market_dynamic_t30h80
test,0.3,0.8,legacy,48.73162521788386,2.161032194272129,0.125810499648305,0.0954631828413205,23.1099404489235,0.025634842027424,0.9040752351097178,h3h5h7_longonly_test_market_legacy_t30h80
test,0.3,0.8,none,60.454658664858016,2.131386201619377,0.159791398855774,0.084245231880349,23.1099404489235,0.0225930946243566,1.0,h3h5h7_longonly_h128_t64_n3000_test_best
val,0.2,0.8,dynamic,26.85227486009758,0.9416841318571112,0.1399412237898399,0.0678386131940047,26.720776202649315,0.0138382197201948,0.6390750463095471,h3h5h7_longonly_val_market_dynamic_one
val,0.2,0.8,legacy,32.72039742013819,0.9725705583616696,0.173885411455439,0.0702195589111626,26.720776202649315,0.0142691632680261,0.8078512396694215,h3h5h7_longonly_val_market_legacy_one
val,0.2,0.8,none,4.736264524841527,0.3208415025430338,0.3502713748216507,0.0716270779109326,26.720776202649315,0.0144836899262788,1.0,h3h5h7_longonly_h128_t64_n3000_extreme_hold
val,0.2,0.9,dynamic,25.84679638910994,0.9215446867210282,0.1417257043019202,0.0493894063516722,42.6244670991659,0.010043217872727,0.6390750463095471,h3h5h7_longonly_val_market_dynamic_hold90
val,0.2,0.9,legacy,31.300888078063814,0.9481430707021504,0.1758682613952322,0.0464838897637661,42.6244670991659,0.0093867361244066,0.8078512396694215,h3h5h7_longonly_val_market_legacy_hold90
val,0.2,0.9,none,5.45902290850282,0.3352957381253358,0.3360065632860671,0.0436821322831417,42.6244670991659,0.0087354146106422,1.0,h3h5h7_longonly_h128_t64_n3000_extreme_hold
val,0.3,0.8,dynamic,26.56820921316143,0.9546559841624588,0.1378198118511689,0.0688375303283488,26.00233662470792,0.0140436969747294,0.6390750463095471,h3h5h7_longonly_val_market_dynamic_t30h80
val,0.3,0.8,legacy,32.65292257361387,0.991358482898356,0.167256263899736,0.0715429217772231,26.00233662470792,0.0145413790095747,0.8078512396694215,h3h5h7_longonly_val_market_legacy_t30h80
val,0.3,0.8,none,4.839632127561377,0.320970606770233,0.3519239520261056,0.073640627461705,26.00233662470792,0.0148978770688727,1.0,h3h5h7_longonly_h128_t64_n3000_extreme_hold
