mode,month,days,sum_return,mean_return
dynamic_m20,2023-02,5,0.0027700497623266993,0.0005540099524653398
dynamic_m20,2023-03,23,-0.0069497662942254465,-0.0003021637519228455
dynamic_m20,2023-04,19,0.011867360608685412,0.0006245979267729164
dynamic_m20,2023-05,20,0.0073391926986192,0.00036695963493096
dynamic_m20,2023-06,20,-0.004554776034763927,-0.00022773880173819635
dynamic_m20,2023-07,21,0.01567856679325336,0.0007465984187263505
dynamic_m20,2023-08,23,-0.041629957889664095,-0.0018099981691158302
dynamic_m20,2023-09,20,-0.0012818183771964534,-6.409091885982267e-05
dynamic_m20,2023-10,17,-0.0102372057170078,-0.000602188571588694
dynamic_m20,2023-11,22,0.015523260642147454,0.0007056027564612479
dynamic_m20,2023-12,21,0.0014398904540127997,6.85662120958476e-05
dynamic_m20,2024-01,22,-0.05745941963697844,-0.002611791801680838
dynamic_m20,2024-02,15,0.0687449117897394,0.004582994119315961
dynamic_m20,2024-03,21,0.10546617465818461,0.005022198793246886
dynamic_m20,2024-04,20,0.0416519636371611,0.0020825981818580553
dynamic_m20,2024-05,20,-0.0036479147817218976,-0.0001823957390860949
dynamic_m20,2024-06,19,-0.05775161946412581,-0.0030395589191645166
dynamic_m20,2024-07,23,0.012981004249778175,0.0005643914891207902
dynamic_m20,2024-08,22,-0.030251860215523597,-0.0013750845552510727
dynamic_m20,2024-09,19,0.07591471638001021,0.00399551138842159
dynamic_m20,2024-10,18,0.0696974082956617,0.0038720782386478724
dynamic_m20,2024-11,21,0.09763292446908092,0.004649186879480044
dynamic_m20,2024-12,22,-0.0297592819759656,-0.0013526946352711636
dynamic_m20,2025-01,18,-0.0158307304508944,-0.0008794850250496888
dynamic_m20,2025-02,18,0.0582287173666802,0.0032349287425933442
dynamic_m20,2025-03,21,0.016107878955105202,0.0007670418550050096
dynamic_m20,2025-04,21,0.012323263344779189,0.0005868220640371043
dynamic_m20,2025-05,19,0.021052970676753907,0.0011080510882502056
dynamic_m20,2025-06,20,0.041187148312855,0.0020593574156427498
dynamic_m20,2025-07,23,0.07147875806296711,0.003107772089694222
dynamic_m20,2025-08,21,0.06759156962573731,0.003218646172654158
dynamic_m20,2025-09,22,-0.0003547258470614023,-1.612390213915465e-05
dynamic_m20,2025-10,17,0.0334681542553572,0.001968714956197482
dynamic_m20,2025-11,20,-0.0015132644549849996,-7.566322274924998e-05
dynamic_m20,2025-12,23,0.0008684796473135593,3.775998466580693e-05
dynamic_m20,2026-01,20,0.07303880274429463,0.003651940137214731
dynamic_m20,2026-02,14,0.029692845464419602,0.0021209175331728287
dynamic_m20,2026-03,22,-0.0420413969391279,-0.0019109725881421775
dynamic_m20,2026-04,21,0.0645174323337397,0.0030722586825590336
dynamic_m20,2026-05,4,0.0669072651646858,0.01672681629117145
dynamic_m50,2023-02,5,0.0032084738398283994,0.0006416947679656799
dynamic_m50,2023-03,23,-0.010128057489568649,-0.00044035032563341953
dynamic_m50,2023-04,19,0.018939230049977985,0.0009968015815777886
dynamic_m50,2023-05,20,0.010446158577711607,0.0005223079288855803
dynamic_m50,2023-06,20,-0.007148946545980179,-0.00035744732729900896
dynamic_m50,2023-07,21,0.02246543167308328,0.0010697824606230133
dynamic_m50,2023-08,23,-0.0510277369264594,-0.0022185972576721476
dynamic_m50,2023-09,20,-0.0015773096843457717,-7.886548421728859e-05
dynamic_m50,2023-10,17,-0.015701725770177404,-0.0009236309276574944
dynamic_m50,2023-11,22,0.021561242113824278,0.0009800564597192854
dynamic_m50,2023-12,21,0.0015456561464874978,7.36026736422618e-05
dynamic_m50,2024-01,22,-0.0820769151505449,-0.0037307688704793134
dynamic_m50,2024-02,15,0.09117688393154683,0.006078458928769789
dynamic_m50,2024-03,21,0.1087728967654425,0.005179661750735357
