mode,period,days,ann,sharpe,mdd,sum_return
dynamic_m20,2023,211,-1.4540088394790596,-0.16436749144906093,0.06656218091628191,-0.010035203353812788
dynamic_m20,2024,242,30.918134582447742,1.1472290714996145,0.12058239575245201,0.29321900740530077
dynamic_m20,2025,243,35.62611498302664,2.1405940883440264,0.08641681152307386,0.3046082194946078
dynamic_m20,2026,81,79.33992786151278,3.721165044123793,0.06623632760386257,0.1921149487680118
dynamic_m20,all,777,26.63303756209514,1.3894765088842476,0.14357107398273825,0.7799069723141077
dynamic_m50,2023,211,-1.3394702645199819,-0.09214051755563657,0.08713379890850932,-0.007417584015618352
dynamic_m50,2024,242,34.86653753942384,1.1369818931942977,0.16064094917668567,0.3322573085053302
dynamic_m50,2025,243,50.78395233525419,2.3800155899284343,0.11148148816099349,0.4120475477769061
dynamic_m50,2026,81,92.02358893398535,3.450822529223486,0.08281470765258722,0.21609226543795762
dynamic_m50,all,777,33.10266311559749,1.447828610918318,0.19455176698342355,0.9529795377045757
legacy,2023,211,-2.787895648724903,-0.22473617570255594,0.08920384959316632,-0.019275789644852943
legacy,2024,242,38.61769127692052,1.1883992321922874,0.15855537429869399,0.36279139592723664
legacy,2025,243,57.830208601940484,2.4107983207774137,0.12032864779352054,0.45949676666945716
legacy,2026,81,103.58890603724329,3.4127313986363785,0.09134415065980366,0.23630007832815242
legacy,all,777,36.459685831015776,1.4837271826352025,0.15855537429869027,1.0393124512799932
