"candidate","split","stress","capital","ann","sharpe","mdd","exec_to","blocked_buy"
"breadth_m085","forward","cost2x","100w","-47.694183214068","-1.82929935780561","0.109395357564506","0.360786261359048","0"
"edge_r030_100","forward","cost2x","100w","-54.8665237902012","-2.1463232085211","0.121522013004363","0.366980918485129","0"
"official","forward","cost2x","100w","-55.8233697176159","-2.2488555361651","0.121522013004363","0.367043800997706","0"
"negfilter_drop3","forward","cost2x","100w","-56.5746694594699","-2.32004005864739","0.121522013004363","0.366414577069319","0"
"breadth_m085","forward","cost2x","50w","-57.5645434084109","-2.89865381906889","0.106191797149741","0.310537568746481","0"
"negfilter_drop3","forward","cost2x","50w","-62.7527937612687","-3.16163768387296","0.114594595385151","0.313033702604305","0"
"official","forward","cost2x","50w","-63.1269237539962","-3.18179957214669","0.115324501924988","0.313074178544773","0"
"edge_r030_100","forward","cost2x","50w","-63.1269237539962","-3.18179957214669","0.115324501924988","0.313074178544773","0"
"breadth_m085","forward","lag1","100w","-55.1977445073017","-2.25907864673389","0.102207942969655","0.348736882873708","1"
"negfilter_drop3","forward","lag1","100w","-62.4821363815115","-2.69156843444161","0.112521163814547","0.365191450547311","1"
"official","forward","lag1","100w","-62.6258617902917","-2.7004064854488","0.112790048412722","0.365284025460029","1"
"edge_r030_100","forward","lag1","100w","-62.6270213643591","-2.70053516485072","0.112790048412722","0.3654071092274","1"
"breadth_m085","forward","lag1","50w","-64.3252660129614","-3.38821888058714","0.106937480367197","0.295832578526584","1"
"edge_r030_100","forward","lag1","50w","-70.4326301894655","-3.81927519419602","0.11876294813687","0.310369668408329","1"
"official","forward","lag1","50w","-70.4326301894655","-3.81927519419602","0.11876294813687","0.310369668408329","1"
"negfilter_drop3","forward","lag1","50w","-70.8598838860243","-3.86771891070939","0.119770651434279","0.310082744301584","1"
"risk_target_r004","forward","normal","100w","-39.0483399028638","-1.27067834893605","0.114100279136267","0.368183249871742","0"
"breadth_m085","forward","normal","100w","-45.0257295810908","-1.67452629571523","0.107141419054691","0.362514026015634","0"
"edge_r030_100","forward","normal","100w","-51.2196593508758","-1.91825077765795","0.117816090806327","0.367381727006377","0"
"official","forward","normal","100w","-52.2484932088126","-2.01694322875176","0.117816090806327","0.367444630213831","0"
"negfilter_drop3","forward","normal","100w","-53.0603355045179","-2.08604047162775","0.117816090806327","0.366819003473031","0"
"risk_target_r004","forward","normal","50w","-54.112661143935","-2.38443352433322","0.109074004128051","0.308298294697116","0"
"breadth_m085","forward","normal","50w","-55.2490030342494","-2.71123092685494","0.103141447423365","0.309158417050749","0"
"negfilter_drop3","forward","normal","50w","-60.6354441624275","-2.97617532127353","0.111588305741305","0.312840153993074","0"
"official","forward","normal","50w","-61.0295113288317","-2.99685261733656","0.112318602647127","0.312880256628062","0"
"edge_r030_100","forward","normal","50w","-61.0295113288317","-2.99685261733656","0.112318602647127","0.312880256628062","0"
"negfilter_drop3","test","cost2x","100w","78.5324074036728","2.63364891271661","0.157548493416485","0.310128903610398","2"
"breadth_m085","test","cost2x","100w","75.2590998302537","2.59813782847077","0.154482346568412","0.30796111130904","2"
"edge_r030_100","test","cost2x","100w","75.8267634145132","2.58637941010953","0.154970877002375","0.310518079409401","2"
"official","test","cost2x","100w","75.8102472925667","2.58564098003392","0.154970877002375","0.310128271990791","2"
"negfilter_drop3","test","cost2x","50w","75.6345214925377","2.7203024607778","0.142955198711096","0.2954457826769","2"
"breadth_m085","test","cost2x","50w","72.7425354536531","2.67458117333728","0.144234958182813","0.29410604479566","2"
"edge_r030_100","test","cost2x","50w","73.2766708494485","2.66597697981855","0.146118645576995","0.29557381971186","2"
"official","test","cost2x","50w","72.9117182413011","2.65537670369592","0.146118645576995","0.295480519722704","2"
"negfilter_drop3","test","lag1","100w","87.8444502847715","2.90494536764224","0.143425183323862","0.309760399536511","6"
"official","test","lag1","100w","85.8650100180501","2.85906677090818","0.144876390734322","0.309786790913357","5"
"edge_r030_100","test","lag1","100w","85.5428994837508","2.85152201288884","0.144876390734322","0.309683236871045","5"
"breadth_m085","test","lag1","100w","83.4153989475848","2.82298342184872","0.145649730550007","0.306857363079899","5"
"negfilter_drop3","test","lag1","50w","80.2800135198121","2.86790046452083","0.135744045309225","0.2962849036853","5"
"edge_r030_100","test","lag1","50w","78.64119017969","2.819241145834","0.138051204970933","0.295259514227739","5"
"official","test","lag1","50w","78.5943089380306","2.81776023859109","0.138051204970933","0.295511607943196","5"
"breadth_m085","test","lag1","50w","76.6205559810712","2.80101330126603","0.136955882848146","0.292635030015371","5"
"negfilter_drop3","test","normal","100w","91.0811882768413","2.92683982781805","0.15537910918885","0.311027673790578","2"
"breadth_m085","test","normal","100w","87.0674606439641","2.88971262617685","0.152082755545425","0.307781364546727","2"
"official","test","normal","100w","88.2294575472921","2.88777031520828","0.152357832849997","0.310751868732076","2"
"edge_r030_100","test","normal","100w","88.2143893873107","2.88691588689093","0.152357832849997","0.310784664472094","2"
"risk_target_r004","test","normal","100w","84.8373430954759","2.72677928003305","0.165239086603369","0.341268244894294","2"
"negfilter_drop3","test","normal","50w","87.0340291006972","3.00944657859499","0.139430390089901","0.296687994220225","2"
"breadth_m085","test","normal","50w","84.6308001151433","2.99084571072186","0.141119744958582","0.29390176439291","2"
"official","test","normal","50w","84.3262881811523","2.95417007523293","0.142833005605764","0.296243424554495","2"
"edge_r030_100","test","normal","50w","84.2976680535986","2.95328927226169","0.142833005605764","0.296293026355129","2"
"risk_target_r004","test","normal","50w","81.5950266245224","2.76963084687444","0.153761262825494","0.328439035114111","2"
"breadth_m085","val","cost2x","100w","77.2182491275597","1.71906845665513","0.218314566323173","0.275428024299335","7"
"edge_r030_100","val","cost2x","100w","74.8955079006588","1.67373311572715","0.218296198901946","0.280299760811585","7"
"official","val","cost2x","100w","74.5502693286156","1.66751650517304","0.222150151339083","0.280112426865826","7"
"negfilter_drop3","val","cost2x","100w","74.4309376382332","1.66085995252224","0.225510797258965","0.280180832014941","7"
"breadth_m085","val","cost2x","50w","73.1594243723679","1.68819237278158","0.216821652249904","0.269131377340074","7"
"edge_r030_100","val","cost2x","50w","71.4363111974665","1.64843514390994","0.220421722805636","0.27375728220886","7"
"official","val","cost2x","50w","70.4033716184726","1.63081747929814","0.223719295954906","0.273371092452577","7"
"negfilter_drop3","val","cost2x","50w","70.5962844719642","1.62949589551961","0.22255717553986","0.27279747522165","7"
"breadth_m085","val","lag1","100w","57.6122409529458","1.40063705256249","0.226572682633346","0.275472456541222","10"
"negfilter_drop3","val","lag1","100w","49.7448645714828","1.25562781653051","0.219849317996759","0.279294437763637","10"
"edge_r030_100","val","lag1","100w","48.8665439281122","1.24129116029822","0.220670136815005","0.279335790858225","10"
"official","val","lag1","100w","47.3610239103474","1.21533618153118","0.228946932497832","0.279312637990583","10"
"breadth_m085","val","lag1","50w","54.8581053112908","1.37510494065205","0.224513690016723","0.268393487863354","10"
"negfilter_drop3","val","lag1","50w","49.0359637048732","1.2595078614485","0.217607700338321","0.271985079043453","10"
"edge_r030_100","val","lag1","50w","47.5413104973445","1.23500874679992","0.221456333673174","0.272101973866075","10"
"official","val","lag1","50w","46.3881543969273","1.21497243695492","0.22421102242438","0.271812739256019","10"
"risk_target_r004","val","normal","100w","95.6714840955915","1.95668684735439","0.187951790976407","0.319957511965797","6"
"official","val","normal","100w","89.3139592456931","1.87938187236751","0.207918005780171","0.279358391469675","7"
"breadth_m085","val","normal","100w","88.2354145000951","1.87767854399366","0.204308532430156","0.275686902689931","7"
"edge_r030_100","val","normal","100w","84.7809772447134","1.81771998605931","0.203578951446139","0.280472737853129","7"
"negfilter_drop3","val","normal","100w","84.8720306771245","1.81234118181932","0.21086237404379","0.280312188921458","7"
"risk_target_r004","val","normal","50w","90.8202956733045","1.91990286079621","0.188468046930027","0.312326958151803","6"
"breadth_m085","val","normal","50w","83.330205201102","1.83748345146229","0.203948731889954","0.26971838529031","7"
"official","val","normal","50w","84.0832140071797","1.83444534968227","0.210665317955418","0.272508939932606","7"
"edge_r030_100","val","normal","50w","80.8881094976824","1.78859399535449","0.206744503956387","0.273350598483705","7"
"negfilter_drop3","val","normal","50w","80.5068199281004","1.77721902623762","0.210505997657236","0.273547148592195","7"
