candidate,split,stress,capital,ann,sharpe,mdd,exec_to,blocked_buy
breadth_m085,val,normal,50w,83.33020520110203,1.8374834514622889,0.2039487318899541,0.2697183852903095,7
edge_r030_100,val,normal,50w,80.88810949768242,1.7885939953544858,0.2067445039563865,0.2733505984837054,7
negfilter_drop3,val,normal,50w,80.50681992810044,1.7772190262376235,0.210505997657236,0.2735471485921947,7
official,val,normal,50w,84.08321400717975,1.8344453496822728,0.2106653179554184,0.2725089399326064,7
risk_target_r004,val,normal,50w,90.82029567330449,1.919902860796212,0.1884680469300272,0.3123269581518026,6
breadth_m085,val,normal,100w,88.23541450009509,1.8776785439936643,0.2043085324301562,0.2756869026899305,7
edge_r030_100,val,normal,100w,84.78097724471337,1.817719986059306,0.2035789514461395,0.2804727378531288,7
negfilter_drop3,val,normal,100w,84.8720306771245,1.81234118181932,0.21086237404379,0.2803121889214577,7
official,val,normal,100w,89.31395924569314,1.8793818723675064,0.2079180057801714,0.2793583914696749,7
risk_target_r004,val,normal,100w,95.67148409559144,1.956686847354394,0.187951790976407,0.319957511965797,6
breadth_m085,val,lag1,50w,54.85810531129081,1.375104940652054,0.2245136900167227,0.2683934878633539,10
edge_r030_100,val,lag1,50w,47.54131049734449,1.2350087467999162,0.2214563336731741,0.2721019738660752,10
negfilter_drop3,val,lag1,50w,49.035963704873154,1.259507861448499,0.2176077003383209,0.2719850790434527,10
official,val,lag1,50w,46.38815439692729,1.2149724369549249,0.2242110224243801,0.2718127392560194,10
breadth_m085,val,lag1,100w,57.61224095294581,1.4006370525624887,0.226572682633346,0.2754724565412216,10
edge_r030_100,val,lag1,100w,48.86654392811221,1.2412911602982222,0.2206701368150049,0.2793357908582249,10
negfilter_drop3,val,lag1,100w,49.74486457148275,1.2556278165305084,0.2198493179967587,0.2792944377636367,10
official,val,lag1,100w,47.36102391034744,1.2153361815311825,0.2289469324978316,0.2793126379905829,10
breadth_m085,val,cost2x,50w,73.15942437236787,1.6881923727815755,0.216821652249904,0.2691313773400738,7
edge_r030_100,val,cost2x,50w,71.43631119746645,1.6484351439099365,0.2204217228056362,0.2737572822088598,7
negfilter_drop3,val,cost2x,50w,70.59628447196415,1.6294958955196142,0.2225571755398602,0.27279747522165,7
official,val,cost2x,50w,70.40337161847259,1.6308174792981354,0.2237192959549063,0.2733710924525771,7
breadth_m085,val,cost2x,100w,77.21824912755966,1.719068456655127,0.2183145663231729,0.2754280242993346,7
edge_r030_100,val,cost2x,100w,74.8955079006588,1.673733115727153,0.2182961989019461,0.2802997608115852,7
negfilter_drop3,val,cost2x,100w,74.43093763823316,1.660859952522243,0.2255107972589645,0.2801808320149409,7
official,val,cost2x,100w,74.5502693286156,1.6675165051730414,0.2221501513390825,0.2801124268658264,7
breadth_m085,test,normal,50w,84.63080011514326,2.9908457107218576,0.141119744958582,0.2939017643929099,2
edge_r030_100,test,normal,50w,84.29766805359864,2.953289272261693,0.1428330056057641,0.2962930263551286,2
negfilter_drop3,test,normal,50w,87.0340291006972,3.009446578594989,0.1394303900899012,0.2966879942202245,2
official,test,normal,50w,84.32628818115226,2.9541700752329327,0.1428330056057641,0.2962434245544949,2
risk_target_r004,test,normal,50w,81.59502662452236,2.769630846874438,0.1537612628254936,0.3284390351141114,2
breadth_m085,test,normal,100w,87.0674606439641,2.8897126261768475,0.1520827555454247,0.3077813645467269,2
edge_r030_100,test,normal,100w,88.2143893873107,2.8869158868909324,0.1523578328499969,0.3107846644720944,2
negfilter_drop3,test,normal,100w,91.0811882768413,2.926839827818054,0.1553791091888499,0.311027673790578,2
official,test,normal,100w,88.22945754729214,2.8877703152082788,0.1523578328499969,0.3107518687320758,2
risk_target_r004,test,normal,100w,84.83734309547594,2.7267792800330453,0.1652390866033689,0.3412682448942941,2
breadth_m085,test,lag1,50w,76.6205559810712,2.801013301266032,0.1369558828481456,0.2926350300153708,5
edge_r030_100,test,lag1,50w,78.64119017968999,2.8192411458340016,0.1380512049709333,0.2952595142277385,5
negfilter_drop3,test,lag1,50w,80.28001351981213,2.86790046452083,0.1357440453092253,0.2962849036853001,5
official,test,lag1,50w,78.5943089380306,2.8177602385910863,0.1380512049709333,0.2955116079431963,5
breadth_m085,test,lag1,100w,83.41539894758476,2.822983421848723,0.1456497305500074,0.3068573630798991,5
edge_r030_100,test,lag1,100w,85.54289948375077,2.851522012888842,0.1448763907343219,0.3096832368710451,5
negfilter_drop3,test,lag1,100w,87.8444502847715,2.9049453676422425,0.1434251833238617,0.3097603995365109,6
official,test,lag1,100w,85.86501001805009,2.859066770908181,0.1448763907343219,0.3097867909133569,5
breadth_m085,test,cost2x,50w,72.74253545365312,2.674581173337282,0.1442349581828129,0.2941060447956597,2
edge_r030_100,test,cost2x,50w,73.27667084944854,2.665976979818548,0.1461186455769947,0.2955738197118596,2
