name,kind,class,action,target,reason
.claude,dir,misc,review,,manual review before any move
.gitignore,file,misc,review,,manual review before any move
.pytest_cache,dir,archive_or_cache,archive_candidate,archive/cache_202606,classified as archive_or_cache
.vscode,dir,misc,review,,manual review before any move
__init__.py,file,source_or_docs,review,,manual review before any move
__pycache__,dir,archive_or_cache,archive_candidate,archive/cache_202606,classified as archive_or_cache
_archive_models_data_20260604,dir,archive_or_cache,archive_candidate,archive/cache_202606,classified as archive_or_cache
_archive_results_20260604,dir,archive_or_cache,archive_candidate,archive/cache_202606,classified as archive_or_cache
_sys_check.ps1,file,misc,review,,manual review before any move
alpha,dir,source_or_docs,protect,,"active source, official baseline, or forward-observation dependency"
archive,dir,archive_or_cache,protect,,"active source, official baseline, or forward-observation dependency"
backtest,dir,source_or_docs,protect,,"active source, official baseline, or forward-observation dependency"
backtest_result_snapshots,dir,misc,review,,manual review before any move
backtest_results_exp_blend_raw75_avg25_hold100_stress_2x,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_blend_raw75_avg25_hold100_stress_3x,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_blend_raw75_avg25_hold100_stress_lag1,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_blend_raw75_avg25_hold100_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_blend_raw75_avg25_stress_2x,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_blend_raw75_avg25_stress_3x,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_blend_raw75_avg25_stress_lag1,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_blend_raw75_avg25_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_blend_raw75_avg25_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_consensus_geo_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_consensus_geo_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_consensus_min_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_legacy_bear40_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_legacy_bear40_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_exp_legacy_bear50_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
