name,kind,class,length,last_write
.claude,dir,misc,,2026-06-10 22:53:55
.gitignore,file,misc,420,2026-06-18 13:59:14
.pytest_cache,dir,archive_or_cache,,2026-06-18 01:33:32
.vscode,dir,misc,,2026-06-10 20:58:10
__init__.py,file,source_or_docs,59,2026-05-19 02:46:36
__pycache__,dir,archive_or_cache,,2026-06-18 01:33:32
_archive_models_data_20260604,dir,archive_or_cache,,2026-06-10 21:00:00
_archive_results_20260604,dir,archive_or_cache,,2026-06-10 21:00:05
_sys_check.ps1,file,misc,1304,2026-05-19 02:46:36
alpha,dir,source_or_docs,,2026-06-18 01:31:14
archive,dir,archive_or_cache,,2026-06-18 23:08:03
backtest,dir,source_or_docs,,2026-06-18 01:50:08
backtest_result_snapshots,dir,misc,,2026-06-10 20:58:12
backtest_results_small_account_smoke_20260612,dir,experiment_output,,2026-06-12 01:49:25
backtest_results_switch_cache_smoke_fast2,dir,experiment_output,,2026-06-05 20:37:02
backtest_results_switch_cache_smoke_read,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_switch_cache_smoke_read5,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_switch_cache_smoke_write,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_switch_value_20260604_top3_pv1m_raw_alpha_val,dir,experiment_output,,2026-06-04 22:57:30
backtest_results_switch_value_20260604_top3_pv1m_raw_newmodel_val,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_switch_value_20260604_v9_alpha_baseline_test,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_switch_value_20260604_v9_alpha_baseline_val,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_switch_value_20260604_v9_avgw3_alpha_val_pv1m,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_switch_value_20260604_v9_avgw3_switch_val_pv1m,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_switch_value_20260604_v9_baseline_layer_smoke,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_switch_value_20260604_v9_baseline_layer_test,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_switch_value_20260604_v9_baseline_layer_val,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_temporal_full_eval_20260604,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_temporal_retention_20260604_v10_v9warm_toploss,dir,experiment_output,,2026-06-10 20:58:10
backtest_results_topstable_epoch9_val_avgw3,dir,experiment_output,,2026-06-13 13:06:35
backtest_results_v9_retention_20260531,dir,experiment_output,,2026-06-10 20:58:12
breadth_triggered_market_20260617,dir,experiment_output,,2026-06-17 22:28:52
breadth_triggered_target_20260617,dir,experiment_output,,2026-06-17 22:10:40
cache,dir,archive_or_cache,,2026-06-17 23:29:57
candidate_model_validation_20260614,dir,experiment_output,,2026-06-14 14:13:47
CANDIDATE_MODEL_VALIDATION_PLAN_20260614.md,file,source_or_docs,5523,2026-06-14 14:23:43
checkpoints,dir,checkpoint_or_model,,2026-06-10 20:59:43
checkpoints_batch4_benchmark_20260613,dir,checkpoint_or_model,,2026-06-13 01:01:52
checkpoints_batch8_benchmark_20260613,dir,checkpoint_or_model,,2026-06-13 00:54:59
checkpoints_exp,dir,checkpoint_or_model,,2026-06-10 20:59:44
checkpoints_exp_pairwise_w003_20260530_011759,dir,checkpoint_or_model,,2026-06-10 20:59:44
checkpoints_exp_purged_rawmetric_A_20260613,dir,checkpoint_or_model,,2026-06-13 17:17:59
checkpoints_exp_top06_stable_20260612,dir,checkpoint_or_model,,2026-06-13 00:53:58
checkpoints_exp_topfocus,dir,checkpoint_or_model,,2026-06-10 20:59:44
checkpoints_exp_topfocus_w005_pairwise_w001_20260530_053300,dir,checkpoint_or_model,,2026-06-10 20:59:44
checkpoints_exp_topfocus_w005_topic,dir,checkpoint_or_model,,2026-06-10 20:59:44
checkpoints_exp_topfocus_w005_topret,dir,checkpoint_or_model,,2026-06-10 20:59:44
checkpoints_loss_ablation_A0,dir,checkpoint_or_model,,2026-06-13 20:31:06
checkpoints_loss_ablation_A0_low_lr_e10,dir,checkpoint_or_model,,2026-06-14 12:44:01
checkpoints_loss_ablation_A1,dir,checkpoint_or_model,,2026-06-13 22:11:33
checkpoints_loss_ablation_A2,dir,checkpoint_or_model,,2026-06-13 23:45:23
checkpoints_loss_ablation_A3,dir,checkpoint_or_model,,2026-06-14 00:55:06
checkpoints_loss_ablation_A4,dir,checkpoint_or_model,,2026-06-14 01:22:31
checkpoints_loss_ablation_A4_low_lr_e10,dir,checkpoint_or_model,,2026-06-14 13:25:38
checkpoints_loss_ablation_A5,dir,checkpoint_or_model,,2026-06-14 01:52:30
checkpoints_loss_ablation_D001,dir,checkpoint_or_model,,2026-06-15 22:36:50
checkpoints_loss_ablation_D003,dir,checkpoint_or_model,,2026-06-15 23:37:31
checkpoints_loss_ablation_D003_T001,dir,checkpoint_or_model,,2026-06-16 13:10:48
checkpoints_loss_ablation_D005,dir,checkpoint_or_model,,2026-06-16 00:42:22
checkpoints_loss_ablation_LAG005,dir,checkpoint_or_model,,2026-06-16 16:06:59
checkpoints_loss_ablation_LAG010,dir,checkpoint_or_model,,2026-06-16 17:30:02
checkpoints_loss_ablation_M0_nomulti,dir,checkpoint_or_model,,2026-06-14 14:57:39
checkpoints_loss_ablation_M1_nomulti_topfocus_w005,dir,checkpoint_or_model,,2026-06-14 17:46:16
checkpoints_loss_ablation_T001,dir,checkpoint_or_model,,2026-06-16 01:45:07
checkpoints_reranker_oof_F1_train2017_val2018,dir,checkpoint_or_model,,2026-06-14 23:42:52
checkpoints_reranker_oof_F2_train2018_val2019,dir,checkpoint_or_model,,2026-06-14 23:54:54
checkpoints_reranker_oof_F3_train2019_val2020,dir,checkpoint_or_model,,2026-06-15 00:06:47
checkpoints_reranker_oof_F4_train2020_val2021,dir,checkpoint_or_model,,2026-06-15 00:21:19
checkpoints_reranker_oof_F5_train2021_val2022,dir,checkpoint_or_model,,2026-06-15 00:38:48
checkpoints_reranker_oof_F6_train2022_val2023,dir,checkpoint_or_model,,2026-06-15 00:59:33
checkpoints_smoke_rawmetrics_20260613,dir,checkpoint_or_model,,2026-06-13 17:02:07
CLAUDE.md,file,source_or_docs,30532,2026-06-12 01:52:30
conditional_negfilter_breadth_20260618,dir,experiment_output,,2026-06-18 00:44:59
configs,dir,source_or_docs,,2026-06-16 15:38:03
core,dir,source_or_docs,,2026-06-18 13:23:09
data,dir,source_or_docs,,2026-06-12 01:46:17
diagnostics_negfilter_drop3_20260617,dir,experiment_output,,2026-06-17 16:13:29
downside_topfocus_validation_20260616,dir,experiment_output,,2026-06-16 15:16:25
experiments,dir,source_or_docs,,2026-06-18 14:27:16
EXPERIMENTS.md,file,source_or_docs,1491,2026-06-12 01:45:36
forward_results,dir,experiment_output,,2026-06-15 16:33:01
FORWARD_TEST_LOG.md,file,experiment_output,4133,2026-06-12 22:21:41
FROZEN_FORWARD_STRATEGY.md,file,source_or_docs,2420,2026-06-12 02:41:53
lag1_checkpoint_sweep_m0_20260616,dir,experiment_output,,2026-06-16 15:51:46
locked_candidate_confirmation_20260614,dir,experiment_output,,2026-06-14 14:19:01
LOSS_ABLATION_PLAN.md,file,source_or_docs,6280,2026-06-13 18:11:35
loss_ablation_portfolio_validation_20260614,dir,experiment_output,,2026-06-14 14:38:01
m0_topfocus_validation_20260614,dir,experiment_output,,2026-06-14 18:15:05
models_multi_v9_tech_macro,dir,checkpoint_or_model,,2026-06-10 20:59:59
multi_loss_validation_20260614,dir,experiment_output,,2026-06-14 16:49:16
open_reranker_current_v9_20260617,dir,experiment_output,,2026-06-17 01:03:36
open_reranker_current_v9_edge_20260617,dir,experiment_output,,2026-06-17 02:17:22
open_reranker_current_v9_forward_20260617,dir,experiment_output,,2026-06-17 23:30:01
open_reranker_current_v9_light_20260617,dir,experiment_output,,2026-06-17 01:27:07
open_reranker_current_v9_market_switch_20260617,dir,experiment_output,,2026-06-17 15:34:17
open_reranker_current_v9_negfilter_20260617,dir,experiment_output,,2026-06-17 15:42:21
PURGED_ALPHA_OPTIMIZATION_PLAN.md,file,source_or_docs,5632,2026-06-13 16:44:59
README.md,file,source_or_docs,5333,2026-06-12 01:45:28
reports,dir,source_or_docs,,2026-06-18 13:33:39
requirements.txt,file,source_or_docs,156,2026-06-12 01:58:50
reranker_confirmation_20260615,dir,experiment_output,,2026-06-15 16:31:31
reranker_data_20260614,dir,experiment_output,,2026-06-15 12:30:47
RERANKER_IMPLEMENTATION_PLAN_20260614.md,file,source_or_docs,28220,2026-06-15 16:34:41
reranker_models_20260615,dir,experiment_output,,2026-06-15 16:29:41
reranker_oof_20260614,dir,experiment_output,,2026-06-14 23:52:51
reranker_training_20260615,dir,experiment_output,,2026-06-15 01:54:08
reranker_v2_data_20260615,dir,experiment_output,,2026-06-15 02:39:42
reranker_v3_data_20260615,dir,experiment_output,,2026-06-15 12:33:52
RERANKER_V4_PLAN_20260615.md,file,source_or_docs,6735,2026-06-15 16:34:41
reranker_validation_20260615,dir,experiment_output,,2026-06-15 16:31:31
rerun_v9_avgw3_open_to_open_20260616,dir,misc,,2026-06-16 18:46:59
RESEARCH_PROTOCOL.md,file,source_or_docs,1788,2026-06-12 12:13:47
resume_downside_topfocus_remaining_20260616.ps1,file,experiment_output,1805,2026-06-16 12:30:18
run,dir,source_or_docs,,2026-06-18 14:27:55
run_forward_observation_candidates_20260617.ps1,file,experiment_output,2450,2026-06-17 16:21:50
run_lag1_loss_ablation_after_sweep_20260616.ps1,file,experiment_output,472,2026-06-16 15:38:24
run_unified_good_ops_validation_20260616.ps1,file,experiment_output,5416,2026-06-16 17:39:31
scripts,dir,source_or_docs,,2026-06-12 12:14:06
SHARPE_OPTIMIZATION_REPORT.md,file,source_or_docs,6917,2026-06-12 22:43:33
state_triggered_target_20260617,dir,experiment_output,,2026-06-17 21:58:14
switch_value_data_20260604_top3_pv1m_raw,dir,misc,,2026-06-10 20:59:59
