run,portfolio_value,target_frac,hold_frac,market_timing_mode,ann,sharpe,mdd,win_rate,avg_turnover,avg_executed_turnover,avg_unfilled_turnover,avg_names,avg_gross_weight,blocked_buy,blocked_sell,max_new_names,rebalance_band
mn5_low_target_legacy,500000.0,0.002,0.06,legacy,-23.16106300800017,-0.4020773908020754,0.0943591034626051,40.0,0.9399304207938354,0.9399304207938354,0.0077931567119023,9.85,0.9087697727108154,0,1,5,0.2
mn5_low_target_legacy,500000.0,0.003,0.06,legacy,-27.41095011527628,-0.6945483887638543,0.0936796508572025,40.0,0.6325414177549111,0.6325414177549111,0.0,14.7,0.8678843703219808,0,0,5,0.2
mn5_low_target_dynamic,500000.0,0.002,0.06,dynamic,-26.281174524440697,-0.7961574535179539,0.0721656956844375,50.0,0.7253792470737259,0.7253792470737259,0.0024594052528243,9.8,0.6913877818021599,0,1,5,0.2
mn5_low_target_dynamic,500000.0,0.003,0.06,dynamic,-26.98155365073745,-1.0116439495758114,0.0713967793395772,45.0,0.497682897185478,0.497682897185478,0.0,14.5,0.6662790101828264,0,0,5,0.2
mn5_size_grid_legacy,500000.0,0.004,0.06,legacy,-49.12388010622578,-1.980962596306476,0.1049603935798557,45.0,0.4713500653398374,0.4713500653398374,0.0,19.4,0.8465068916273865,0,0,5,0.2
mn5_size_grid_legacy,500000.0,0.004,0.1,legacy,-49.12388010622578,-1.980962596306476,0.1049603935798557,45.0,0.4713500653398374,0.4713500653398374,0.0,19.4,0.8465068916273865,0,0,5,0.2
mn5_low_target_legacy,1000000.0,0.003,0.06,legacy,-1.2389676093550683,0.1704430258467462,0.0909295047513729,45.0,0.661813663510523,0.661813663510523,0.0009552726894465,14.8,0.908140508165446,0,0,5,0.2
mn5_low_target_legacy,1000000.0,0.002,0.06,legacy,-11.95266306173206,-0.0580883278332086,0.0945106268242353,40.0,0.973474360428731,0.973474360428731,0.0091318625756072,9.9,0.937322311393856,0,1,5,0.2
mn5_low_target_dynamic,1000000.0,0.003,0.06,dynamic,-12.268184907436252,-0.2644118060602778,0.0712635993619051,45.0,0.5390205692271757,0.5390205692271757,0.0,14.75,0.7146975697888782,0,0,5,0.2
mn5_low_target_dynamic,1000000.0,0.002,0.06,dynamic,-16.023629893635206,-0.3108512280860045,0.0748853503431067,45.0,0.76334643777168,0.76334643777168,0.0030904736543268,9.85,0.7264534962126713,0,1,5,0.2
mn5_size_grid_legacy,1000000.0,0.004,0.06,legacy,-28.97726707759253,-0.8121460753684574,0.0961520205518271,45.0,0.5203278696669702,0.5203278696669702,0.0004775237973165,19.8,0.9042192175923076,0,0,5,0.2
mn5_size_grid_legacy,1000000.0,0.004,0.1,legacy,-28.97726707759253,-0.8121460753684574,0.0961520205518271,45.0,0.5203278696669702,0.5203278696669702,0.0004775237973165,19.8,0.9042192175923076,0,0,5,0.2
