code,name,rows,start,end,is_st,short_listing,zero_volume_days,zero_volume_ratio,limit_up_days,limit_down_days,limit_day_ratio
000001.SZ,平安银行,3920,2010-01-04,2026-06-11,False,False,0,0.0,10,10,0.00510204081632653
000002.SZ,万科A,3835,2010-01-04,2026-06-11,False,False,0,0.0,27,5,0.008344198174706649
000004.SZ,*ST国华,3709,2010-02-11,2026-04-27,True,False,0,0.0,103,49,0.04098139660285791
000006.SZ,深振业A,3865,2010-01-04,2026-06-11,False,False,0,0.0,67,41,0.027943078913324707
000007.SZ,全新好,3379,2010-01-04,2026-06-11,False,False,0,0.0,47,40,0.02574726250369932
000008.SZ,神州高铁,3669,2010-01-20,2026-06-11,False,False,0,0.0,52,19,0.019351321886072498
000009.SZ,中国宝安,3880,2010-01-04,2026-06-11,False,False,0,0.0,71,38,0.02809278350515464
000010.SZ,美丽生态,3231,2010-01-04,2026-06-11,False,False,0,0.0,89,29,0.036521200866604764
000011.SZ,深物业A,3963,2010-01-04,2026-06-11,False,False,0,0.0,69,44,0.02851375220792329
000012.SZ,南玻A,3945,2010-01-04,2026-06-11,False,False,0,0.0,38,25,0.01596958174904943
000014.SZ,沙河股份,3984,2010-01-04,2026-06-11,False,False,0,0.0,94,51,0.03639558232931727
000016.SZ,深康佳A,3876,2010-01-04,2026-06-11,False,False,0,0.0,76,31,0.02760577915376677
000017.SZ,深中华A,3612,2010-03-18,2026-06-11,False,False,0,0.0,110,39,0.04125138427464009
000019.SZ,深粮控股,3754,2010-01-04,2026-06-11,False,False,0,0.0,65,35,0.02663825253063399
000020.SZ,深华发A,3692,2010-01-04,2026-06-11,False,False,0,0.0,117,53,0.04604550379198267
000021.SZ,深科技,3959,2010-01-04,2026-06-11,False,False,0,0.0,57,34,0.02298560242485476
000025.SZ,特力A,3956,2010-01-04,2026-06-11,False,False,0,0.0,138,42,0.0455005055611729
000026.SZ,飞亚达,3976,2010-01-04,2026-06-11,False,False,0,0.0,49,31,0.02012072434607646
000027.SZ,深圳能源,3940,2010-01-04,2026-06-11,False,False,0,0.0,30,22,0.013197969543147208
000028.SZ,国药一致,3863,2010-01-04,2026-06-11,False,False,0,0.0,18,10,0.007248252653378203
000029.SZ,深深房A,2979,2010-01-04,2026-06-11,False,False,0,0.0,69,36,0.035246727089627394
000030.SZ,富奥股份,3656,2010-01-04,2026-06-11,False,False,0,0.0,29,17,0.012582056892778994
000031.SZ,大悦城,3796,2010-01-04,2026-06-11,False,False,0,0.0,46,29,0.01975763962065332
000032.SZ,深桑达A,3706,2010-01-04,2026-06-11,False,False,0,0.0,86,47,0.03588774959525094
000034.SZ,神州数码,3374,2010-09-03,2026-06-11,False,False,0,0.0,63,28,0.026970954356846474
000035.SZ,中国天楹,3190,2010-01-04,2026-06-11,False,False,0,0.0,24,14,0.011912225705329153
000036.SZ,华联控股,3937,2010-01-04,2026-06-11,False,False,0,0.0,47,30,0.019558039116078233
000037.SZ,深南电A,3700,2010-01-04,2026-06-11,False,False,0,0.0,105,42,0.039729729729729726
