experiment,loss_component,correlation_with_raw_top30_stability
A0,loss_global_ic,-0.7062383927852595
A0,loss_multi,-0.6936681461199286
A0,loss_div,0.8766331372825723
A0,loss_spread,
A0,loss_top_focus,
A0,loss_pairwise,
A0,loss_within_ic,
A1,loss_global_ic,-0.6160025253730299
A1,loss_multi,-0.6026138155889893
A1,loss_div,0.822491293564584
A1,loss_spread,
A1,loss_top_focus,
A1,loss_pairwise,
A1,loss_within_ic,-0.6062874391702933
A2,loss_global_ic,-0.3830989370348585
A2,loss_multi,-0.36277821508234626
A2,loss_div,-0.07856153381191655
A2,loss_spread,
A2,loss_top_focus,
A2,loss_pairwise,
A2,loss_within_ic,-0.3653134940011682
A3,loss_global_ic,-0.37669397010286676
A3,loss_multi,-0.35729439862806717
A3,loss_div,-0.07122905782175794
A3,loss_spread,
A3,loss_top_focus,
A3,loss_pairwise,
A3,loss_within_ic,
A4,loss_global_ic,-0.6750460621236829
A4,loss_multi,-0.6615067447485761
A4,loss_div,0.8497442196200528
A4,loss_spread,
A4,loss_top_focus,-0.7003977892116252
A4,loss_pairwise,
A4,loss_within_ic,
A5,loss_global_ic,-0.6886466680362885
A5,loss_multi,-0.6723710054169431
A5,loss_div,0.7567023436282272
A5,loss_spread,-0.6187074003724574
A5,loss_top_focus,
A5,loss_pairwise,
A5,loss_within_ic,
