path,ann,sharpe,mdd,split,model,strategy,scenario,transform,portfolio_value,target_frac,hold_frac,return_mode,execution_lag,market_timing_mode,dynamic_min_mult,min_adv_cny,adv_participation_cap,rebalance_band,predictor,weight_mode,reliability
backtest_results_test_plan_v9_raw_test\v9_retention_summary.csv,149.82725088110783,4.31151886337723,0.1189032739815104,test,,,,,,0.03,0.3,,,legacy,,,,,v9_raw,equal,
backtest_results_v9_retention_20260531\topfocus_raw_test_legacy_target3\v9_retention_summary.csv,142.77985922127817,4.223410252024864,0.1165679015360445,test,,,,,,0.03,0.4,,,legacy,,,,,v9_raw,equal,
backtest_results_v9_retention_20260531\topfocus_raw_test_legacy_target3_cost2x\v9_retention_summary.csv,123.3740143982613,3.838040943960261,0.120081916344022,test,,,,,,0.03,0.4,,,legacy,,,,,v9_raw,equal,
backtest_results_test_plan_v9_avgw3_test\v9_retention_summary.csv,89.1471543337644,3.1748147470168746,0.1313899870871707,test,,,,,,0.03,0.4,,,legacy,,,,,v9_raw_persistent_average_w3,equal,
backtest_result_snapshots\20260531_model_strategy_comparison_summary.csv,89.1471543337644,3.1748147470168746,0.1313899870871707,test,V9 topfocus average_w3,retention target0.030/hold0.400,,,,0.03,0.4,,,,,,,,,,same_engine_full_cost
backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv,89.1471543337644,3.1748147470168746,0.1313899870871707,test,,,,,,0.03,0.4,,,legacy,,,,,v9_raw_persistent_average_w3,equal,
backtest_results_v9_retention_20260531\avgw3_open_to_open_exec1m_dynamic_min_sweep_summary.csv,57.34911812209851,3.044144746492589,0.0990708079541132,test,,,,,1000000.0,0.03,0.5,open_to_open,0.0,dynamic,0.2,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_open_to_open_exec1m_market_mode_summary.csv,57.34911812209851,3.044144746492589,0.0990708079541132,test,,,,,1000000.0,0.03,0.5,open_to_open,0.0,dynamic,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_dynamic\open_execution_summary.csv,57.34911812209851,3.044144746492589,0.0990708079541132,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,dynamic,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv,74.26654612341923,2.974906452950545,0.1192980994740193,test,,,,,,0.15,0.5,,,legacy,,,,,v9_raw_persistent_average_w3,equal,
backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid_cost2x\v9_retention_summary.csv,81.16064548476358,2.9656122788473858,0.1332615830440424,test,,,,,,0.03,0.4,,,legacy,,,,,v9_raw_persistent_average_w3,equal,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_dynamic_min0p30\open_execution_summary.csv,60.0436707276028,2.9471185845102847,0.1110708204017319,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,dynamic,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_dynamic_min0p40\open_execution_summary.csv,62.74273490318412,2.8511442895551724,0.1229611052177998,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,dynamic,,20000000.0,0.05,,,,
