split,mode,portfolio_value,target_frac,hold_frac,ann,sharpe,mdd,win_rate,avg_turnover,avg_executed_turnover,avg_names,avg_gross_weight,avg_market_mult,blocked_buy,blocked_sell,max_new_names,rebalance_band
validation,official,500000.0,0.006,0.1,84.08321400717975,1.8344453496822728,0.2106653179554184,53.11203319502075,0.2725089399326064,0.2725089399326064,29.13278008298755,0.7628554506479278,0.8082987551867219,7,4,5,0.2
validation,official,1000000.0,0.006,0.1,89.31395924569314,1.8793818723675064,0.2079180057801714,53.11203319502075,0.2793583914696749,0.2793583914696749,29.23236514522821,0.7807441449654399,0.8082987551867219,7,4,5,0.2
test,official,500000.0,0.006,0.1,84.32628818115226,2.9541700752329327,0.1428330056057641,58.84146341463414,0.2962434245544949,0.2962434245544949,29.57317073170732,0.834940607411045,0.9067073170731706,2,4,5,0.2
test,official,1000000.0,0.006,0.1,88.22945754729214,2.8877703152082788,0.1523578328499969,57.92682926829268,0.3107518687320758,0.3107518687320758,29.695121951219512,0.8667140991779485,0.9067073170731706,2,4,5,0.2
forward,official,500000.0,0.006,0.1,-61.02951132883173,-2.9968526173365566,0.1123186026471269,35.0,0.3128802566280618,0.3128802566280618,29.05,0.8120389094628626,0.97,0,0,5,0.2
forward,official,1000000.0,0.006,0.1,-52.2484932088126,-2.016943228751758,0.1178160908063269,35.0,0.3674446302138306,0.3674446302138306,30.1,0.8808586561111834,0.97,0,0,5,0.2
validation,state_w5_cumret_m3,500000.0,0.006,0.1,86.42414891710608,1.8718771658549245,0.2142511254973566,52.69709543568465,0.2727188263787281,0.2727188263787281,29.13278008298755,0.7623891871874794,0.8082987551867219,7,4,5,0.2
validation,state_w5_cumret_m3,1000000.0,0.006,0.1,90.76908547688616,1.9047126664695877,0.2134428305627295,52.69709543568465,0.27945550997516,0.27945550997516,29.23236514522821,0.7812692106237433,0.8082987551867219,7,4,5,0.2
test,state_w5_cumret_m3,500000.0,0.006,0.1,81.59952552956491,2.889092365399071,0.1445069756033615,58.84146341463414,0.2959352470541156,0.2959352470541156,29.59756097560976,0.8359388308843515,0.9067073170731706,2,4,5,0.2
test,state_w5_cumret_m3,1000000.0,0.006,0.1,84.83249240768365,2.790573777662524,0.1601841568079968,58.53658536585365,0.3100852108410226,0.3100852108410226,29.72560975609756,0.8661623531126263,0.9067073170731706,2,4,5,0.2
forward,state_w5_cumret_m3,500000.0,0.006,0.1,-61.9802224745426,-3.0960668624480743,0.1147792495686392,35.0,0.3119844811196497,0.3119844811196497,29.15,0.8225619223413079,0.97,0,0,5,0.2
forward,state_w5_cumret_m3,1000000.0,0.006,0.1,-47.75118402753884,-1.7897092082157195,0.1117557708675044,45.0,0.3663079033044314,0.3663079033044314,30.05,0.8783753089190608,0.97,0,0,5,0.2
validation,state_w3_cumret_m2,500000.0,0.006,0.1,83.53663884653663,1.8293964498449284,0.2188973424180934,52.28215767634856,0.2723281534607268,0.2723281534607268,29.13278008298755,0.762892886515388,0.8082987551867219,7,4,5,0.2
validation,state_w3_cumret_m2,1000000.0,0.006,0.1,89.17338156692087,1.877720659632513,0.215515573293686,51.867219917012456,0.279285784446094,0.279285784446094,29.23236514522821,0.7803629705922346,0.8082987551867219,7,4,5,0.2
test,state_w3_cumret_m2,500000.0,0.006,0.1,77.99719636821311,2.7986416439499324,0.1447345959746899,58.53658536585365,0.2953688862749627,0.2953688862749627,29.59756097560976,0.8368337180991386,0.9067073170731706,2,4,5,0.2
test,state_w3_cumret_m2,1000000.0,0.006,0.1,83.75825155808374,2.793149603283189,0.1569682451483395,58.84146341463414,0.3102480343408102,0.3102480343408102,29.72256097560976,0.8665615217454536,0.9067073170731706,2,3,5,0.2
forward,state_w3_cumret_m2,500000.0,0.006,0.1,-61.409507267926855,-3.041367773679656,0.1159679275896732,35.0,0.3124890069209629,0.3124890069209629,29.15,0.8202576674536214,0.97,0,0,5,0.2
forward,state_w3_cumret_m2,1000000.0,0.006,0.1,-47.54230574775969,-1.7545152130632904,0.1134425047290494,40.0,0.3647331616187734,0.3647331616187734,30.05,0.8781954371758754,0.97,0,0,5,0.2
